Abstime(sec),yyyy-mm-ddTHH:MM:SS.sss,x(m),y(m),z(m),xdot(m/s),ydot(m/s),zdot(m/s),phi(deg.),psi(deg.),theta(deg.),phidot(deg./sec),psidot(deg./sec),thetadot(deg./sec),roll(deg.),pitch(deg.),yaw(deg.)
1762459960.573000,2025-11-06T20:12:40.572,-82878.528301,-6757.749644,-1819691.449611,1287.209122,1027.491117,-51.281045,239.873338292801,21.996460695633,1.034113597957,0.000152000000,0.000000000000,0.000000000000,26.004918,-0.196107,0.089100
1762459961.073000,2025-11-06T20:12:41.072,-82234.933016,-6243.781832,-1819716.905680,1287.242827,1027.493702,-50.543282,239.873414371572,21.996460720216,1.034113779486,0.000152000000,0.000000000000,0.000000000000,26.004912,-0.196162,0.089120
1762459961.573000,2025-11-06T20:12:41.572,-81591.319578,-5729.814488,-1819741.992864,1287.276272,1027.496078,-49.805501,239.873490450342,21.996460744799,1.034113961016,0.000152000000,0.000000000000,0.000000000000,26.004907,-0.196216,0.089140
1762459962.073000,2025-11-06T20:12:42.072,-80947.688116,-5215.847719,-1819766.711155,1287.309457,1027.498246,-49.067704,239.873566529106,21.996460769382,1.034114142546,0.000152000000,0.000000000000,0.000000000000,26.004902,-0.196270,0.089160
1762459962.573000,2025-11-06T20:12:42.572,-80304.038761,-4701.881627,-1819791.060544,1287.342381,1027.500205,-48.329890,239.873642607861,21.996460793965,1.034114324075,0.000152000000,0.000000000000,0.000000000000,26.004897,-0.196325,0.089179
1762459963.073000,2025-11-06T20:12:43.072,-79660.371642,-4187.916318,-1819815.041024,1287.375046,1027.501955,-47.592059,239.873718686603,21.996460818547,1.034114505605,0.000152000000,0.000000000000,0.000000000000,26.004893,-0.196379,0.089199
1762459963.573000,2025-11-06T20:12:43.572,-79016.686889,-3673.951896,-1819838.652584,1287.407450,1027.503495,-46.854211,239.873794765331,21.996460843128,1.034114687135,0.000152000000,0.000000000000,0.000000000000,26.004888,-0.196433,0.089218
1762459964.073000,2025-11-06T20:12:44.072,-78372.984633,-3159.988465,-1819861.895218,1287.439594,1027.504827,-46.116348,239.873870844039,21.996460867709,1.034114868664,0.000152000000,0.000000000000,0.000000000000,26.004884,-0.196486,0.089238
1762459964.573000,2025-11-06T20:12:44.572,-77729.265003,-2646.026130,-1819884.768917,1287.471478,1027.505950,-45.378469,239.873946922727,21.996460892288,1.034115050194,0.000152000000,0.000000000000,0.000000000000,26.004880,-0.196540,0.089257
1762459965.073000,2025-11-06T20:12:45.072,-77085.528129,-2132.064995,-1819907.273673,1287.503101,1027.506864,-44.640573,239.874023001390,21.996460916867,1.034115231724,0.000152000000,0.000000000000,0.000000000000,26.004876,-0.196594,0.089276
1762459965.573000,2025-11-06T20:12:45.572,-76441.774142,-1618.105165,-1819929.409479,1287.534464,1027.507569,-43.902663,239.874099080028,21.996460941444,1.034115413254,0.000152000000,0.000000000000,0.000000000000,26.004873,-0.196647,0.089295
1762459966.073000,2025-11-06T20:12:46.072,-75798.003171,-1104.146744,-1819951.176326,1287.565567,1027.508065,-43.164736,239.874175158636,21.996460966019,1.034115594783,0.000152000000,0.000000000000,0.000000000000,26.004869,-0.196700,0.089314
1762459966.573000,2025-11-06T20:12:46.572,-75154.215348,-590.189836,-1819972.574206,1287.596409,1027.508351,-42.426795,239.874251237214,21.996460990594,1.034115776313,0.000152000000,0.000000000000,0.000000000000,26.004866,-0.196753,0.089333
1762459967.073000,2025-11-06T20:12:47.072,-74510.410801,-76.234548,-1819993.603113,1287.626991,1027.508429,-41.688838,239.874327315758,21.996461015166,1.034115957843,0.000152000000,0.000000000000,0.000000000000,26.004862,-0.196806,0.089352
1762459967.573000,2025-11-06T20:12:47.572,-73866.589661,437.719018,-1820014.263037,1287.657312,1027.508297,-40.950867,239.874403394269,21.996461039737,1.034116139373,0.000152000000,0.000000000000,0.000000000000,26.004859,-0.196859,0.089370
1762459968.073000,2025-11-06T20:12:48.072,-73222.752059,951.670756,-1820034.553973,1287.687373,1027.507956,-40.212881,239.874479472744,21.996461064307,1.034116320902,0.000152000000,0.000000000000,0.000000000000,26.004856,-0.196911,0.089389
1762459968.573000,2025-11-06T20:12:48.572,-72578.898125,1465.620562,-1820054.475912,1287.717173,1027.507405,-39.474880,239.874555551182,21.996461088874,1.034116502432,0.000152000000,0.000000000000,0.000000000000,26.004853,-0.196963,0.089408
1762459969.073000,2025-11-06T20:12:49.072,-71935.027988,1979.568331,-1820074.028846,1287.746713,1027.506646,-38.736865,239.874631629582,21.996461113440,1.034116683962,0.000152000000,0.000000000000,0.000000000000,26.004851,-0.197015,0.089426
1762459969.573000,2025-11-06T20:12:49.572,-71291.141780,2493.513958,-1820093.212770,1287.775992,1027.505676,-37.998835,239.874707707942,21.996461138003,1.034116865491,0.000152000000,0.000000000000,0.000000000000,26.004848,-0.197067,0.089445
1762459970.073000,2025-11-06T20:12:50.072,-70647.239630,3007.457339,-1820112.027675,1287.805010,1027.504498,-37.260792,239.874783786264,21.996461162565,1.034117047021,0.000152000000,0.000000000000,0.000000000000,26.004845,-0.197118,0.089463
